,Cluster,Degree,Id,Label,Probability,Qid,Topic,clustering,modularity_class
60,0.0,1.0,20034776.0,Tray Blackmon,0.9991804361343384,Q7836479,Culture.Sports,0.0,19.0
61,0.0,1.0,20034776.0,Tray Blackmon,0.9973783493041992,Q7836479,Culture.Biography.Biography*,0.0,19.0
62,0.0,1.0,20034776.0,Tray Blackmon,0.12146936559677124,Q7836479,Geography.Regions.Americas.North_America,0.0,19.0
63,7.0,12.0,14501954.0,Are You Experienced? (song),1.0000100135803223,Q2860770,Culture.Media.Music,0.8939389999999999,23.0
64,7.0,12.0,14501954.0,Are You Experienced? (song),0.9994029402732849,Q2860770,Culture.Media.Media*,0.8939389999999999,23.0
65,5.0,1.0,2383372.0,Rita Johnson,0.9996417164802551,Q1703957,Culture.Biography.Biography*,0.0,6.0
66,5.0,1.0,2383372.0,Rita Johnson,0.546748161315918,Q1703957,Culture.Biography.Women,0.0,6.0
67,5.0,1.0,2383372.0,Rita Johnson,0.23371636867523193,Q1703957,History_and_Society.History,0.0,6.0
68,5.0,1.0,2383372.0,Rita Johnson,0.22816647589206696,Q1703957,Culture.Performing_arts,0.0,6.0
69,5.0,1.0,2383372.0,Rita Johnson,0.14034625887870789,Q1703957,Culture.Media.Media*,0.0,6.0
70,5.0,1.0,2383372.0,Rita Johnson,0.0,Q1703957,Geography.Regions.Americas.North_America,0.0,6.0
71,6.0,2.0,201112.0,Mario Bunge,0.9987257122993469,Q708853,Culture.Biography.Biography*,1.0,30.0
72,6.0,2.0,201112.0,Mario Bunge,0.9706977605819702,Q708853,Culture.Philosophy_and_religion,1.0,30.0
73,6.0,2.0,201112.0,Mario Bunge,0.5078218579292297,Q708853,STEM.STEM*,1.0,30.0
74,6.0,2.0,201112.0,Mario Bunge,0.22816647589206696,Q708853,History_and_Society.Society,1.0,30.0
75,6.0,2.0,201112.0,Mario Bunge,0.14034625887870789,Q708853,History_and_Society.Education,1.0,30.0
76,6.0,2.0,201112.0,Mario Bunge,0.11597072333097458,Q708853,Culture.Literature,1.0,30.0
77,6.0,2.0,201112.0,Mario Bunge,0.1067005917429924,Q708853,Culture.Biography.Women,1.0,30.0
78,6.0,2.0,201112.0,Mario Bunge,0.10088862478733063,Q708853,STEM.Physics,1.0,30.0
79,6.0,2.0,201112.0,Mario Bunge,0.0,Q708853,Geography.Regions.Americas.South_America,1.0,30.0
80,6.0,2.0,201112.0,Mario Bunge,0.0,Q708853,Geography.Regions.Europe.Europe*,1.0,30.0
81,6.0,2.0,201112.0,Mario Bunge,0.0,Q708853,Geography.Regions.Americas.North_America,1.0,30.0
82,6.0,2.0,201112.0,Mario Bunge,0.0,Q708853,Geography.Regions.Europe.Southern_Europe,1.0,30.0
83,6.0,2.0,201112.0,Mario Bunge,0.0,Q708853,Geography.Regions.Europe.Western_Europe,1.0,30.0
84,4.0,8.0,5729648.0,Nicolas Mahut,0.9993221759796143,Q317974,Culture.Sports,0.321429,20.0
85,4.0,8.0,5729648.0,Nicolas Mahut,0.9963027834892273,Q317974,Culture.Biography.Biography*,0.321429,20.0
86,4.0,8.0,5729648.0,Nicolas Mahut,0.4687954058647156,Q317974,Geography.Regions.Europe.Western_Europe,0.321429,20.0
87,4.0,8.0,5729648.0,Nicolas Mahut,0.46490960025787353,Q317974,Geography.Regions.Europe.Europe*,0.321429,20.0
88,1.0,1.0,1226632.0,Tina Hobley,0.996837317943573,Q4555364,Culture.Biography.Biography*,0.0,1.0
89,1.0,1.0,1226632.0,Tina Hobley,0.44553956389427185,Q4555364,Culture.Biography.Women,0.0,1.0
90,1.0,1.0,1226632.0,Tina Hobley,0.2509227991104126,Q4555364,Culture.Media.Television,0.0,1.0
91,1.0,1.0,1226632.0,Tina Hobley,0.20690405368804932,Q4555364,Culture.Media.Media*,0.0,1.0
92,1.0,1.0,1226632.0,Tina Hobley,0.0,Q4555364,Geography.Regions.Europe.Europe*,0.0,1.0
93,1.0,1.0,1226632.0,Tina Hobley,0.0,Q4555364,Geography.Regions.Europe.Northern_Europe,0.0,1.0
94,1.0,9.0,36894194.0,Trézéguet (Egyptian footballer),0.9954004287719727,Q6734350,Culture.Biography.Biography*,0.194444,11.0
95,1.0,9.0,36894194.0,Trézéguet (Egyptian footballer),0.9841036200523376,Q6734350,Culture.Sports,0.194444,11.0
96,1.0,9.0,36894194.0,Trézéguet (Egyptian footballer),0.25966064834594726,Q6734350,Geography.Regions.Africa.Northern_Africa,0.194444,11.0
97,1.0,9.0,36894194.0,Trézéguet (Egyptian footballer),0.2047950496673584,Q6734350,Geography.Regions.Africa.Africa*,0.194444,11.0
98,1.0,9.0,36894194.0,Trézéguet (Egyptian footballer),0.0,Q6734350,Geography.Regions.Asia.West_Asia,0.194444,11.0
99,3.0,4.0,3882218.0,Programming language theory,0.9399233460426331,Q2670534,STEM.STEM*,0.666667,17.0
100,3.0,4.0,3882218.0,Programming language theory,0.3702353835105896,Q2670534,STEM.Technology,0.666667,17.0
101,3.0,4.0,3882218.0,Programming language theory,0.2814156115055084,Q2670534,STEM.Computing,0.666667,17.0
102,7.0,6.0,16172170.0,Connie Talbot,0.9850529432296753,Q230470,Culture.Biography.Biography*,0.4,23.0
103,7.0,6.0,16172170.0,Connie Talbot,0.754925012588501,Q230470,Culture.Biography.Women,0.4,23.0
104,7.0,6.0,16172170.0,Connie Talbot,0.6926519870758057,Q230470,Culture.Media.Media*,0.4,23.0
105,7.0,6.0,16172170.0,Connie Talbot,0.3923468291759491,Q230470,Culture.Media.Music,0.4,23.0
106,7.0,6.0,16172170.0,Connie Talbot,0.0,Q230470,Geography.Regions.Europe.Europe*,0.4,23.0
107,7.0,6.0,16172170.0,Connie Talbot,0.0,Q230470,Geography.Regions.Europe.Northern_Europe,0.4,23.0
108,2.0,1.0,1352224.0,United States circuit court,0.99753737449646,Q7892368,History_and_Society.Politics_and_government,0.0,3.0
109,2.0,1.0,1352224.0,United States circuit court,0.48102377557754517,Q7892368,Geography.Regions.Americas.North_America,0.0,3.0
110,3.0,1.0,36682390.0,Bobak Ferdowsi,0.9867871999740601,Q4595122,Culture.Biography.Biography*,0.0,17.0
111,3.0,1.0,36682390.0,Bobak Ferdowsi,0.6442351341247559,Q4595122,STEM.STEM*,0.0,17.0
112,3.0,1.0,36682390.0,Bobak Ferdowsi,0.4301573634147644,Q4595122,History_and_Society.Transportation,0.0,17.0
113,3.0,1.0,36682390.0,Bobak Ferdowsi,0.3276783227920532,Q4595122,STEM.Technology,0.0,17.0
114,3.0,1.0,36682390.0,Bobak Ferdowsi,0.320831298828125,Q4595122,STEM.Engineering,0.0,17.0
115,3.0,1.0,36682390.0,Bobak Ferdowsi,0.10667316818237305,Q4595122,Geography.Regions.Americas.North_America,0.0,17.0
116,4.0,12.0,2804704.0,Gone with the Wind (film),0.9783946871757507,Q2875,Culture.Media.Films,0.090909,4.0
117,4.0,12.0,2804704.0,Gone with the Wind (film),0.9579222798347473,Q2875,Culture.Media.Media*,0.090909,4.0
118,4.0,12.0,2804704.0,Gone with the Wind (film),0.0,Q2875,Geography.Regions.Americas.North_America,0.090909,4.0
119,20.0,7.0,16491946.0,Chen Chi-mai,1.0000100135803223,Q5090717,Culture.Biography.Biography*,0.285714,18.0
120,20.0,7.0,16491946.0,Chen Chi-mai,0.9971204400062561,Q5090717,History_and_Society.Society,0.285714,18.0
121,20.0,7.0,16491946.0,Chen Chi-mai,0.47988598251342773,Q5090717,Geography.Regions.Asia.East_Asia,0.285714,18.0
122,20.0,7.0,16491946.0,Chen Chi-mai,0.4687954058647156,Q5090717,Geography.Regions.Asia.Asia*,0.285714,18.0
123,20.0,7.0,16491946.0,Chen Chi-mai,0.1778208613395691,Q5090717,Culture.Biography.Women,0.285714,18.0
124,0.0,3.0,55089196.0,Feleipe Franks,0.9954004287719727,Q38204090,Culture.Sports,0.0,19.0
125,0.0,3.0,55089196.0,Feleipe Franks,0.9931061863899231,Q38204090,Culture.Biography.Biography*,0.0,19.0
126,0.0,3.0,55089196.0,Feleipe Franks,0.12146936559677124,Q38204090,Geography.Regions.Americas.North_America,0.0,19.0
127,7.0,20.0,909006.0,1900 (film),0.9748311638832092,Q124697,Culture.Media.Films,0.657895,23.0
128,7.0,20.0,909006.0,1900 (film),0.9669240117073059,Q124697,Culture.Media.Media*,0.657895,23.0
129,7.0,20.0,909006.0,1900 (film),0.0,Q124697,Geography.Regions.Europe.Europe*,0.657895,23.0
130,7.0,20.0,909006.0,1900 (film),0.0,Q124697,Geography.Regions.Europe.Southern_Europe,0.657895,23.0
131,5.0,2.0,2888384.0,Henry Daniell,1.0000100135803223,Q1369906,Culture.Biography.Biography*,0.0,6.0
132,5.0,2.0,2888384.0,Henry Daniell,0.0,Q1369906,Geography.Regions.Europe.Europe*,0.0,6.0
133,5.0,2.0,2888384.0,Henry Daniell,0.0,Q1369906,Geography.Regions.Europe.Northern_Europe,0.0,6.0
134,5.0,2.0,2888384.0,Henry Daniell,0.0,Q1369906,Geography.Regions.Americas.North_America,0.0,6.0
135,2.0,5.0,1833654.0,Diverging diamond interchange,0.4738311638832092,Q13586568,Geography.Regions.Europe.Western_Europe,0.3,10.0
136,2.0,5.0,1833654.0,Diverging diamond interchange,0.379807101726532,Q13586568,Geography.Regions.Europe.Europe*,0.3,10.0
137,2.0,5.0,1833654.0,Diverging diamond interchange,0.11597072333097458,Q13586568,History_and_Society.Military_and_warfare,0.3,10.0
138,2.0,5.0,1833654.0,Diverging diamond interchange,0.1067005917429924,Q13586568,STEM.STEM*,0.3,10.0
139,5.0,2.0,54088.0,Harry Palmer,0.9615437984466553,Q1749168,Culture.Literature,1.0,6.0
140,5.0,2.0,54088.0,Harry Palmer,0.8634016513824463,Q1749168,Culture.Media.Media*,1.0,6.0
141,5.0,2.0,54088.0,Harry Palmer,0.4765896201133728,Q1749168,Culture.Media.Books,1.0,6.0
142,5.0,2.0,54088.0,Harry Palmer,0.29422497749328613,Q1749168,Culture.Media.Films,1.0,6.0
143,5.0,2.0,54088.0,Harry Palmer,0.0,Q1749168,Geography.Regions.Europe.Northern_Europe,1.0,6.0
144,5.0,2.0,54088.0,Harry Palmer,0.0,Q1749168,Geography.Regions.Europe.Europe*,1.0,6.0
145,3.0,2.0,11659694.0,List of the oldest living people,1.0,Q2078878,Compilation.List_Disambig,0.0,15.0
146,3.0,2.0,11659694.0,List of the oldest living people,0.9802908897399902,Q2078878,Culture.Biography.Biography*,0.0,15.0
147,3.0,2.0,11659694.0,List of the oldest living people,0.22816647589206696,Q2078878,Culture.Literature,0.0,15.0
148,3.0,2.0,11659694.0,List of the oldest living people,0.19194278120994568,Q2078878,History_and_Society.Military_and_warfare,0.0,15.0
149,3.0,2.0,11659694.0,List of the oldest living people,0.0,Q2078878,Geography.Regions.Americas.North_America,0.0,15.0
150,3.0,2.0,11659694.0,List of the oldest living people,0.0,Q2078878,Geography.Regions.Asia.Asia*,0.0,15.0
151,3.0,2.0,11659694.0,List of the oldest living people,0.0,Q2078878,Geography.Regions.Europe.Europe*,0.0,15.0
152,1.0,7.0,28323576.0,Ben Purkiss,1.0000100135803223,Q4886315,Culture.Sports,0.52381,11.0
153,1.0,7.0,28323576.0,Ben Purkiss,1.0000100135803223,Q4886315,Culture.Biography.Biography*,0.52381,11.0
154,1.0,7.0,28323576.0,Ben Purkiss,0.21760438585281372,Q4886315,Geography.Regions.Europe.Northern_Europe,0.52381,11.0
155,1.0,7.0,28323576.0,Ben Purkiss,0.022430347442626952,Q4886315,Geography.Regions.Europe.Europe*,0.52381,11.0
156,3.0,19.0,7034.0,Cruiser,0.9124462008476257,Q104843,History_and_Society.Transportation,0.16959100000000002,24.0
157,3.0,19.0,7034.0,Cruiser,0.16027602553367615,Q104843,History_and_Society.Military_and_warfare,0.16959100000000002,24.0
158,1.0,1.0,37601302.0,Whitehouse High School,0.8962613940238953,Q17065069,History_and_Society.Education,0.0,11.0
159,1.0,1.0,37601302.0,Whitehouse High School,0.8354935646057129,Q17065069,Geography.Regions.Americas.North_America,0.0,11.0
160,1.0,8.0,1669640.0,England national football team records and statistics,0.880807101726532,Q5378035,Culture.Sports,0.178571,11.0
161,1.0,8.0,1669640.0,England national football team records and statistics,0.14323513412475586,Q5378035,Geography.Regions.Europe.Northern_Europe,0.178571,11.0
162,1.0,8.0,1669640.0,England national football team records and statistics,0.11409788036346435,Q5378035,Geography.Regions.Europe.Europe*,0.178571,11.0
163,0.0,4.0,44316528.0,Michigan IMG Sports Network,0.5775054097175598,Q18763620,Culture.Sports,0.333333,19.0
164,0.0,4.0,44316528.0,Michigan IMG Sports Network,0.24509501457214355,Q18763620,Culture.Media.Media*,0.333333,19.0
165,0.0,4.0,44316528.0,Michigan IMG Sports Network,0.04574816131591797,Q18763620,Geography.Regions.Americas.North_America,0.333333,19.0
166,1.0,4.0,2569570.0,Turf Moor,0.9980222582817078,Q683112,Culture.Sports,0.0,0.0
167,1.0,4.0,2569570.0,Turf Moor,0.7310686111450195,Q683112,Geography.Regions.Europe.Europe*,0.0,0.0
168,1.0,4.0,2569570.0,Turf Moor,0.7248802781105042,Q683112,Geography.Regions.Europe.Northern_Europe,0.0,0.0
169,1.0,4.0,2569570.0,Turf Moor,0.607673168182373,Q683112,Culture.Biography.Biography*,0.0,0.0
170,4.0,3.0,16706134.0,Salish Wool Dog,0.9963027834892273,Q7404847,STEM.STEM*,0.333333,4.0
171,4.0,3.0,16706134.0,Salish Wool Dog,0.993317186832428,Q7404847,STEM.Biology,0.333333,4.0
172,4.0,3.0,16706134.0,Salish Wool Dog,0.13661839067935944,Q7404847,Culture.Biography.Biography*,0.333333,4.0
173,4.0,3.0,16706134.0,Salish Wool Dog,0.0,Q7404847,Geography.Regions.Americas.North_America,0.333333,4.0
174,11.0,3.0,4173540.0,Friday on My Mind,1.0000100135803223,Q919655,Culture.Media.Music,1.0,1.0
175,11.0,3.0,4173540.0,Friday on My Mind,0.9991540908813477,Q919655,Culture.Media.Media*,1.0,1.0
176,1.0,2.0,15548838.0,Primal Scream discography,1.0000100135803223,Q7243046,Culture.Media.Music,1.0,1.0
177,1.0,2.0,15548838.0,Primal Scream discography,0.9989450573921204,Q7243046,Culture.Media.Media*,1.0,1.0
178,1.0,6.0,43659046.0,Florent Hadergjonaj,0.9908843636512756,Q17612369,Culture.Biography.Biography*,0.733333,0.0
179,1.0,6.0,43659046.0,Florent Hadergjonaj,0.9808859825134277,Q17612369,Culture.Sports,0.733333,0.0
180,1.0,6.0,43659046.0,Florent Hadergjonaj,0.40366052293777466,Q17612369,Geography.Regions.Europe.Europe*,0.733333,0.0
181,1.0,6.0,43659046.0,Florent Hadergjonaj,0.35486118698120117,Q17612369,Geography.Regions.Europe.Western_Europe,0.733333,0.0
182,1.0,2.0,57863442.0,2018–19 IIHF Continental Cup,0.7371681928634644,Q55435557,Culture.Sports,1.0,11.0
183,1.0,2.0,57863442.0,2018–19 IIHF Continental Cup,0.0,Q55435557,Geography.Regions.Europe.Europe*,1.0,11.0
184,9.0,16.0,547482.0,Andamanese languages,0.9770326614379883,Q32940,Culture.Linguistics,0.583333,5.0
185,9.0,16.0,547482.0,Andamanese languages,0.36960725688934326,Q32940,Geography.Regions.Asia.Asia*,0.583333,5.0
186,9.0,16.0,547482.0,Andamanese languages,0.3140605390071869,Q32940,History_and_Society.History,0.583333,5.0
187,9.0,16.0,547482.0,Andamanese languages,0.1778208613395691,Q32940,History_and_Society.Society,0.583333,5.0
188,9.0,16.0,547482.0,Andamanese languages,0.09167657995223999,Q32940,Geography.Regions.Asia.Southeast_Asia,0.583333,5.0
189,9.0,16.0,547482.0,Andamanese languages,0.022430347442626952,Q32940,Geography.Regions.Europe.Europe*,0.583333,5.0
190,9.0,16.0,547482.0,Andamanese languages,0.0,Q32940,Geography.Regions.Europe.Southern_Europe,0.583333,5.0
191,9.0,16.0,547482.0,Andamanese languages,0.0,Q32940,Geography.Regions.Asia.South_Asia,0.583333,5.0
192,9.0,16.0,547482.0,Andamanese languages,0.0,Q32940,Geography.Regions.Europe.Northern_Europe,0.583333,5.0
193,9.0,16.0,547482.0,Andamanese languages,0.0,Q32940,Geography.Regions.Asia.West_Asia,0.583333,5.0
194,9.0,16.0,547482.0,Andamanese languages,0.0,Q32940,Geography.Regions.Asia.Central_Asia,0.583333,5.0
195,9.0,16.0,547482.0,Andamanese languages,0.0,Q32940,Geography.Regions.Americas.North_America,0.583333,5.0
196,9.0,16.0,547482.0,Andamanese languages,0.0,Q32940,Geography.Regions.Africa.Africa*,0.583333,5.0
197,1.0,3.0,3500262.0,"Paul Robinson (footballer, born December 1978)",0.9978272914886475,Q725397,Culture.Biography.Biography*,0.333333,11.0
198,1.0,3.0,3500262.0,"Paul Robinson (footballer, born December 1978)",0.9970290064811707,Q725397,Culture.Sports,0.333333,11.0
199,1.0,3.0,3500262.0,"Paul Robinson (footballer, born December 1978)",0.4274188151359558,Q725397,Geography.Regions.Europe.Northern_Europe,0.333333,11.0
200,1.0,3.0,3500262.0,"Paul Robinson (footballer, born December 1978)",0.4209318628311157,Q725397,Geography.Regions.Europe.Europe*,0.333333,11.0
201,0.0,1.0,8548856.0,Shawna Waldron,0.9994397163391113,Q454818,Culture.Biography.Biography*,0.0,19.0
202,0.0,1.0,8548856.0,Shawna Waldron,0.9911626577377319,Q454818,Culture.Biography.Women,0.0,19.0
203,0.0,1.0,8548856.0,Shawna Waldron,0.19194278120994568,Q454818,Culture.Media.Television,0.0,19.0
204,0.0,1.0,8548856.0,Shawna Waldron,0.1259327530860901,Q454818,History_and_Society.History,0.0,19.0
205,0.0,1.0,8548856.0,Shawna Waldron,0.0,Q454818,Geography.Regions.Americas.North_America,0.0,19.0
206,0.0,6.0,50375864.0,Trevor Davis,0.9836069941520691,Q24765462,Culture.Sports,1.0,19.0
207,0.0,6.0,50375864.0,Trevor Davis,0.983095109462738,Q24765462,Culture.Biography.Biography*,1.0,19.0
208,0.0,6.0,50375864.0,Trevor Davis,0.0,Q24765462,Geography.Regions.Americas.North_America,1.0,19.0
209,3.0,1.0,49422336.0,Cha Jun-hwan,0.9955416321754456,Q21825093,Culture.Biography.Biography*,0.0,15.0
210,3.0,1.0,49422336.0,Cha Jun-hwan,0.8740872144699097,Q21825093,Culture.Sports,0.0,15.0
211,3.0,1.0,49422336.0,Cha Jun-hwan,0.15742753648757934,Q21825093,Geography.Regions.Asia.East_Asia,0.0,15.0
212,3.0,1.0,49422336.0,Cha Jun-hwan,0.14323513412475586,Q21825093,Geography.Regions.Asia.Asia*,0.0,15.0
213,1.0,1.0,36881830.0,Aleksander Čeferin,0.9859463572502136,Q26819142,Culture.Biography.Biography*,0.0,11.0
214,1.0,1.0,36881830.0,Aleksander Čeferin,0.4669093360900879,Q26819142,Geography.Regions.Europe.Europe*,0.0,11.0
215,1.0,1.0,36881830.0,Aleksander Čeferin,0.4139109721183777,Q26819142,Geography.Regions.Europe.Southern_Europe,0.0,11.0
216,1.0,1.0,36881830.0,Aleksander Čeferin,0.12253321707248688,Q26819142,Culture.Sports,0.0,11.0
217,8.0,2.0,6673634.0,Ranjit Chowdhry,0.9980832934379578,Q7293154,Culture.Biography.Biography*,1.0,16.0
218,8.0,2.0,6673634.0,Ranjit Chowdhry,0.3344935646057129,Q7293154,Geography.Regions.Asia.Asia*,1.0,16.0
219,8.0,2.0,6673634.0,Ranjit Chowdhry,0.19165198707580566,Q7293154,Geography.Regions.Asia.South_Asia,1.0,16.0
220,16.0,1.0,2580516.0,KTVA,0.9989112615585327,Q6339252,Geography.Regions.Americas.North_America,0.0,8.0
221,16.0,1.0,2580516.0,KTVA,0.7310686111450195,Q6339252,Culture.Media.Television,0.0,8.0
222,16.0,1.0,2580516.0,KTVA,0.6224693655967712,Q6339252,Culture.Media.Media*,0.0,8.0
223,1.0,1.0,2473406.0,Tony Warner,1.0000100135803223,Q1085237,Culture.Sports,0.0,11.0
224,1.0,1.0,2473406.0,Tony Warner,0.9993433356285095,Q1085237,Culture.Biography.Biography*,0.0,11.0
