,Label,Id,Degree,modularity_class,betweenesscentrality,Qid
47548,Daylight saving time,47548,44,41,8014815.571699573,Q36669
47836,Averroes,47836,2,36,33285.0,Q39837
48975,Cladogram,48975,1,45,0.0,Q2333562
49582,Battle of Lewes,49582,2,37,11097.000000000002,Q2164009
49760,Letter bomb,49760,3,6,30168.176814638184,Q384080
49802,Pope Zephyrinus,49802,7,54,1362.5316004297492,Q101306
50080,Pulitzer Prize for Criticism,50080,1,6,0.0,Q2117828
50255,Canadian Alliance,50255,12,41,213968.81601288932,Q546881
50803,Victimless crime,50803,2,36,123530.2454096583,Q2026760
50853,Holy Roman Emperor,50853,11,54,526659.3239486102,Q181765
51170,Batavian Republic,51170,6,41,458190.59868389525,Q188553
51254,Father of the House,51254,4,50,11100.0,Q314264
52548,Carl Bildt,52548,3,41,138940.35700688712,Q52922
52630,History of Russia (1991–present),52630,3,32,214190.06885572654,Q2293292
52666,Joseph Lyons,52666,40,17,63283.53183863761,Q370966
52667,Ben Chifley,52667,43,17,12728.831492709183,Q23379
52669,John McEwen,52669,33,17,33888.13928684634,Q23386
52904,Israel Putnam,52904,6,19,279037.99086161255,Q622130
53849,Hollywood,53849,24,47,1681599.8172871713,Q34006
54125,Breccia,54125,3,32,33264.99999999999,Q191250
54219,H. L. Mencken,54219,3,22,22193.0,Q439204
54412,Unicycle,54412,3,4,33287.0,Q223924
54707,Kru languages,54707,1,3,0.0,Q33535
54972,Treaty of Nanking,54972,3,64,22193.0,Q238262
55000,Quebec Act,55000,13,19,175288.82872047098,Q764479
55562,National Road,55562,2,3,0.0,Q1072546
55565,Act Prohibiting Importation of Slaves,55565,7,19,65191.326515391615,Q343039
55576,Wilmot Proviso,55576,1,19,0.0,Q1661295
55595,Wade–Davis Bill,55595,1,19,0.0,Q4017633
55729,Pure Food and Drug Act,55729,2,6,0.0,Q1029367
55816,National Labor Relations Act of 1935,55816,5,6,213581.1221281759,Q1154442
55834,Presidential Succession Act,55834,1,22,0.0,Q2009909
55843,McCarran Internal Security Act,55843,2,26,280902.4146874866,Q6800168
55875,Tabard,55875,1,58,0.0,Q535449
56214,Surcoat,56214,2,58,11097.0,Q1675826
56276,Family (biology),56276,12,48,110922.0,Q35409
56474,Kingston upon Hull,56474,8,23,1152892.4434937763,Q128147
56896,Altai Mountains,56896,7,32,11102.964285714288,Q5955
57110,Dunfermline Abbey,57110,4,37,1.6666666666666667,Q2044924
57724,James Randi Educational Foundation,57724,1,21,0.0,Q1681020
57770,"Clay County, Florida",57770,4,6,11097.533333333333,Q488853
57931,Vitus Bering,57931,1,37,0.0,Q127641
58107,"Montgomery County, Texas",58107,5,19,15710.933879023822,Q26756
59052,Statistical ensemble (mathematical physics),59052,2,19,33285.0,Q898535
59465,"Jeffery Amherst, 1st Baron Amherst",59465,4,19,4991.61205532588,Q335063
59687,Hillsborough disaster,59687,6,50,531235.0247536105,Q234132
60130,Prelude to Foundation,60130,7,38,1641.218008346005,Q783533
60131,Foundation and Earth,60131,8,38,4098.601368358363,Q1050014
60133,Foundation series,60133,8,38,280027.84842583677,Q1564644
60135,Galactic Empire (series),60135,9,38,9386.470887791678,Q368390
60195,Karmapa,60195,2,32,11097.0,Q747371
60613,"Jacksonville, Florida",60613,28,11,2562587.1802288834,Q16568
60663,Varese,60663,2,54,198843.96644251392,Q6285
60858,Carlisle,60858,7,26,1108722.8267718607,Q192896
60944,USS Akron,60944,6,9,59693.20972765377,Q1456109
61588,King Baudouin Stadium,61588,17,16,2350052.9595841775,Q622671
61930,List of naval battles,61930,4,19,155225.0,Q2179035
62108,Elliot See,62108,5,41,302111.52539582807,Q621462
62111,Dark Victory,62111,2,8,99801.0,Q771927
62277,Ben Hecht,62277,4,2,99819.0,Q267441
62321,Cloture,62321,19,6,3326805.442893073,Q5135595
62808,Soul music,62808,97,25,986200.445071299,Q131272
63149,Pastry War,63149,1,6,0.0,Q856168
63572,Old World sparrow,63572,6,48,5554.833333333332,Q28922
63591,Jeff Kennett,63591,5,17,11796.67401456036,Q3176518
63740,Peter Lorre,63740,12,47,188490.5,Q78505
64051,The Spectator,64051,4,23,30033.950553968305,Q1790750
65066,List of playwrights,65066,1,3,0.0,Q176034
65504,John Poindexter,65504,7,6,4144.231569829526,Q348163
65621,Peter III of Aragon,65621,1,45,0.0,Q312311
66238,James Eastland,66238,9,6,400380.24312433274,Q723926
66773,Shrines to the Virgin Mary,66773,2,54,0.0,Q840482
67156,Kamehameha I,67156,7,68,77639.0,Q214910
67339,Government of Argentina,67339,6,35,1865.7622502668394,Q8508468
67340,Economic history of Argentina,67340,10,35,22080.791035437793,Q5333468
67376,Pope Leo IX,67376,12,54,4505.5153269770335,Q58559
67621,Politics of Argentina,67621,6,35,706.4446634784217,Q1154647
67959,King Vidor,67959,3,8,11097.0,Q51133
68082,Abbott and Costello Meet Frankenstein,68082,4,5,0.0,Q306791
68402,Chess opening,68402,2,19,11097.0,Q103632
68602,Herod Agrippa II,68602,6,45,11099.449999999999,Q313419
69128,Tonkin,69128,3,6,42755.15810883708,Q622778
69208,Sosthenes,69208,1,45,0.0,Q1091308
69308,Second Temple,69308,9,45,265837.2214285714,Q728428
69317,Samaritan Pentateuch,69317,4,45,66561.0,Q149441
69451,University of Brighton,69451,17,62,302.9956156848133,Q3056813
70970,Andrew Fisher,70970,44,17,56264.23867236324,Q314016
71601,Portuguese colonization of the Americas,71601,4,6,58465.226433844386,Q2724951
71865,Marija Gimbutas,71865,1,32,0.0,Q221084
72015,"Citrus County, Florida",72015,1,9,0.0,Q488821
72889,San Antonio Spurs,72889,38,57,1798245.409081959,Q159729
73016,Svante Pääbo,73016,5,32,4.583333333333333,Q170342
73249,Politics of Cuba,73249,3,6,45611.14672032138,Q1155727
73612,"Leon County, Florida",73612,13,19,87986.48990714995,Q488576
73627,"Martin County, Florida",73627,11,19,12320.024088179296,Q648752
73697,Larisa Latynina,73697,8,53,24187.85441745226,Q22102
73757,Věra Čáslavská,73757,10,53,11010.532490306483,Q229503
73828,Basil I,73828,1,32,0.0,Q41592
73875,The Godfather Part II,73875,19,49,347155.65349791036,Q184768
74259,Ludmilla Tourischeva,74259,3,53,0.0,Q231516
74655,Gratian,74655,1,39,0.0,Q189108
74912,Love Finds Andy Hardy,74912,3,53,11097.0,Q2733456
75039,Yelena Shushunova,75039,8,53,374905.20426880295,Q260227
76331,Scarface (1932 film),76331,4,2,144137.0,Q471306
76643,A Woman Under the Influence,76643,2,49,22192.0,Q1306380
77245,Nolan Bushnell,77245,2,6,0.0,Q335039
77666,University of Stirling,77666,17,62,302.9956156848133,Q963530
78255,Developed country,78255,2,13,210501.0,Q132453
78375,Simonides of Ceos,78375,2,35,22192.0,Q273003
78643,Government of Venezuela,78643,5,50,11097.0,Q5589332
79394,Missouri Valley Football Conference,79394,8,28,60070.97063297823,Q1310058
79448,Ralph Vaughan Williams,79448,15,52,384670.6800505477,Q207947
79461,Campobasso,79461,2,23,33285.0,Q3497
79597,Northeast Conference,79597,2,28,0.0,Q2000938
80063,Lê Đức Thọ,80063,8,6,5408810.637176588,Q233969
80126,Juno Award,80126,3,10,22193.0,Q507057
80183,Mike Mansfield,80183,16,6,55945.691410054824,Q1889152
80448,Government of Puerto Rico,80448,14,19,144992.99555432264,Q5589303
80796,"Mobile County, Alabama",80796,3,24,1300085.415010699,Q495738
81100,Rio Bravo (film),81100,6,1,98264.92709079366,Q1008351
81234,John Kerr (governor-general),81234,12,17,62928.45862711486,Q1354851
82186,Balance beam,82186,8,53,178.97317635622747,Q655301
82433,Diplomat,82433,15,3,702072.0705527242,Q193391
82666,2002 US Open (tennis),82666,3,27,22193.0,Q856524
82773,CD Numancia,82773,4,29,26013.65965206543,Q12158
84910,Hippo Regius,84910,4,32,44380.000000000015,Q858024
85061,"Hawaii County, Hawaii",85061,22,9,50406.794452257185,Q487334
85085,"Maui County, Hawaii",85085,21,9,498549.59584310313,Q111409
86681,Tandem bicycle,86681,3,4,44376.0,Q948851
87021,Don Bradman,87021,39,52,562885.7603284422,Q313591
87961,"Yavapai County, Arizona",87961,8,6,6943.025299688154,Q58711
87962,"Yuma County, Arizona",87962,1,6,0.0,Q58698
87972,"Litchfield County, Connecticut",87972,3,6,508431.2546899326,Q54235
88373,List of counties in Hawaii,88373,20,9,39971.65322094888,Q843196
89110,Richard Mentor Johnson,89110,3,6,1199.8292063109366,Q109463
89160,Henry Wilson,89160,24,6,46496.1184558623,Q313302
89777,Solicitor,89777,4,23,835324.8539115916,Q14284
90785,Eagles (band),90785,23,44,89146.57756453422,Q189635
90893,"Teton County, Wyoming",90893,4,22,22192.2,Q488912
91558,"Henderson County, Texas",91558,2,19,0.0,Q112793
91596,"Erath County, Texas",91596,3,19,42002.44769021512,Q110500
91928,"Sullivan County, Pennsylvania",91928,7,19,15020.46980605812,Q501306
92132,"Warren County, Ohio",92132,1,6,0.0,Q489576
92134,Eric Cartman,92134,34,7,12470.051995521937,Q47352
92930,Ron Barassi,92930,2,43,0.0,Q3441366
93025,McGeorge Bundy,93025,4,6,489.9997902577719,Q1575845
93327,"Cherokee County, North Carolina",93327,3,19,634116.7407398202,Q484664
93501,"Merrimack County, New Hampshire",93501,3,41,270457.9635999808,Q54440
93759,Richard Branson,93759,3,50,66552.0,Q194419
93860,"Barnes, London",93860,16,23,1951117.1321122195,Q668140
93977,Deptford,93977,2,54,11096.999999999998,Q2308650
94077,Hỏa Lò Prison,94077,29,6,383868.1322737362,Q1359941
94178,Mortlake,94178,9,23,4105.99861485337,Q2456238
94261,Roehampton,94261,7,23,145008.24875355128,Q3057456
94746,"Sunflower County, Mississippi",94746,3,25,22193.0,Q484659
94847,"Carroll County, Mississippi",94847,7,6,19753.73373091689,Q112499
95050,"Ontonagon County, Michigan",95050,12,24,1428.6163912948866,Q45438
95096,"Gogebic County, Michigan",95096,10,24,1138.392121793245,Q32348
95230,Doug TenNapel,95230,1,11,0.0,Q3038050
95878,"Ferndale, Michigan",95878,6,2,1512533.3112263964,Q1406927
96848,"The Water-Babies, A Fairy Tale for a Land Baby",96848,3,52,55469.0,Q14914646
98050,Ruud Lubbers,98050,4,3,231.17356088844568,Q159840
98349,Walter Annenberg,98349,3,6,11097.0,Q1750541
98551,Fumble,98551,24,43,495352.3453966447,Q2721589
99820,Carbon group,99820,7,32,0.8,Q106693
100194,Subtropical cyclone,100194,2,9,0.8333333333333333,Q2331851
100273,Paul Whiteman,100273,2,0,11097.0,Q470182
101617,John Crome,101617,3,32,11097.0,Q3503915
101730,Atal Bihari Vajpayee,101730,65,18,2107815.0622291127,Q233289
101943,The Goodbye Girl,101943,45,49,76849.4310033902,Q679746
102381,"Thomas West, 3rd Baron De La Warr",102381,4,19,34705.07045723877,Q1937877
102485,Peninsular War,102485,10,54,490897.9904407996,Q152499
102836,Camp X-Ray,102836,3,38,200454.47856737464,Q5027702
103738,"Jacksonville, Alabama",103738,1,28,0.0,Q79412
104466,Alf Landon,104466,2,19,0.0,Q665416
104786,"Hoover, Alabama",104786,6,28,50288.48059573421,Q79950
104806,"Pinson, Alabama",104806,3,28,11097.0,Q79303
104816,"Trussville, Alabama",104816,3,28,3.5,Q79691
105439,Danny Boyle,105439,4,38,33286.99999999999,Q134867
105811,Charlotte Perkins Gilman,105811,3,6,22193.0,Q287752
106163,Eighth Crusade,106163,1,6,0.0,Q243684
106517,Harold Bishop,106517,5,25,27738.999999999993,Q5660104
106623,"Safford, Arizona",106623,1,6,0.0,Q79767
106646,"Fountain Hills, Arizona",106646,4,6,53.70704475334667,Q31820343
106785,"Cornville, Arizona",106785,6,6,8529.339376171065,Q976662
106786,"Cottonwood, Arizona",106786,3,6,0.0,Q79463
107361,"Oroville, California",107361,5,41,272595.0446009628,Q850972
107685,"South Pasadena, California",107685,2,41,33285.0,Q852581
107828,"Placentia, California",107828,5,47,55468.999999999985,Q864130
107835,"Seal Beach, California",107835,2,5,11096.999999999998,Q593039
107923,"Indian Wells, California",107923,5,27,261219.6318436408,Q490714
108013,"Rialto, California",108013,5,47,55492.999999999985,Q289661
108023,"Alpine, California",108023,2,22,0.0,Q2114785
108085,"Atascadero, California",108085,1,41,0.0,Q653827
108113,"Hillsborough, California",108113,5,41,1248722.3802713105,Q1011171
108303,"Porterville, California",108303,5,9,33290.49999999999,Q927173
109120,"Orange Park, Florida",109120,4,6,4222.021465625074,Q367316
109306,"Mount Dora, Florida",109306,2,9,11097.0,Q990910
109450,"Miami Lakes, Florida",109450,5,19,6407.734284324943,Q995006
109494,"Key Largo, Florida",109494,3,0,11097.0,Q136618
109565,"Winter Garden, Florida",109565,1,9,0.0,Q2152414
109596,"Highland Beach, Florida",109596,5,19,5600.6374350096075,Q1992688
109875,"Winder, Georgia",109875,2,6,11097.000000000002,Q2443384
110501,"ʻEwa Beach, Hawaii",110501,5,9,5574.895610164986,Q2138861
110516,"Kaneohe, Hawaii",110516,19,9,78380.72026074755,Q1484530
110517,Marine Corps Base Hawaii,110517,7,9,61465.68746642148,Q1887264
110540,"Waipahu, Hawaii",110540,2,28,11097.000000000002,Q637246
110572,"Kahului, Hawaii",110572,16,9,3418.5059834742865,Q1012975
110575,"Kihei, Hawaii",110575,7,9,80643.25674915737,Q1026771
110577,"Lahaina, Hawaii",110577,7,9,541408.574357844,Q1012971
110588,"Wailuku, Hawaii",110588,20,9,53471.65856743304,Q2087831
110747,"Rexburg, Idaho",110747,3,41,22193.0,Q818311
110816,"Pocahontas, Illinois",110816,1,47,0.0,Q2309285
110995,"Hoffman Estates, Illinois",110995,4,41,22193.0,Q1012388
111019,"Norridge, Illinois",111019,2,41,0.0,Q2666488
112062,"Plainfield, Illinois",112062,3,41,44376.0,Q1012017
112422,"Merrillville, Indiana",112422,2,22,11096.999999999998,Q549140
112601,"Mishawaka, Indiana",112601,1,22,0.0,Q990691
113251,Janet Evans,113251,1,57,0.0,Q49286
115120,"Mayfield, Kentucky",115120,1,19,0.0,Q1012364
116918,"Chelsea, Massachusetts",116918,2,26,44376.0,Q54156
118447,Urk,118447,1,41,0.0,Q273746
118701,Baarle-Nassau,118701,1,41,0.0,Q9811
118799,"Clarkston, Michigan",118799,1,25,0.0,Q1095872
118858,"Ontonagon, Michigan",118858,15,24,28479.06955464562,Q2276442
118860,"Rockland Township, Michigan",118860,6,24,284.85641235900033,Q2883487
119262,"Grosse Pointe Woods, Michigan",119262,1,42,0.0,Q2729548
119578,"New Ulm, Minnesota",119578,1,53,0.0,Q545119
120194,Wieringen,120194,4,41,430009.9235688959,Q669547
122229,"Shelby, Mississippi",122229,1,25,0.0,Q2273179
124692,"Greenwood, Mississippi",124692,6,6,66460.99118722,Q986376
125183,"South Orange, New Jersey",125183,1,5,0.0,Q656185
125723,"Somerville, New Jersey",125723,1,6,0.0,Q1088776
125933,"Thoreau, New Mexico",125933,1,41,0.0,Q2891957
126120,Soviet submarine K-278 Komsomolets,126120,2,50,11097.0,Q499298
126736,"Lawrence, Nassau County, New York",126736,1,22,0.0,Q3477005
126800,"Uniondale, New York",126800,3,40,110880.0,Q985341
128206,Greifswald,128206,2,32,0.0,Q4098
128344,"Hertford College, Oxford",128344,1,18,0.0,Q81090
128386,"Wadham College, Oxford",128386,2,18,11097.0,Q2537765
128966,"Oxford, Ohio",128966,4,41,44381.0,Q990940
129203,Recall election,129203,3,22,733143.0657525291,Q1196663
129213,Neil Aspinall,129213,3,65,22192.0,Q380912
129368,Rain Man,129368,3,49,23683.02748586869,Q188845
131811,20 Forthlin Road,131811,4,65,77643.0,Q2814706
132246,"Titusville, Pennsylvania",132246,3,19,11097.0,Q787466
132774,"Punxsutawney, Pennsylvania",132774,1,41,0.0,Q732342
133129,"Jersey Shore, Pennsylvania",133129,2,19,0.0,Q1182005
133164,"South Williamsport, Pennsylvania",133164,12,42,0.5636363636363637,Q1180887
133814,Adolph Green,133814,5,1,8008.352039050866,Q329849
133830,"Cherry Township, Sullivan County, Pennsylvania",133830,6,19,0.0,Q5092490
133833,"Dushore, Pennsylvania",133833,6,19,0.0,Q1130891
133841,"Laporte, Pennsylvania",133841,6,19,0.0,Q1184898
133856,Betty Comden,133856,5,1,34.85377597781097,Q175078
134144,"Greensburg, Pennsylvania",134144,1,42,0.0,Q734974
134459,"Darlington, South Carolina",134459,1,20,0.0,Q428231
134604,"Seneca, South Carolina",134604,1,19,0.0,Q2679162
134972,Lihue Airport,134972,4,9,6940.96083565222,Q1146451
135350,"Smyrna, Tennessee",135350,2,8,11097.0,Q996433
135378,"Gallatin, Tennessee",135378,2,28,15886.618563763994,Q2464943
135426,"Lebanon, Tennessee",135426,1,41,0.0,Q1520670
135442,"Archer City, Texas",135442,5,19,2522368.989085902,Q632687
135744,"Balch Springs, Texas",135744,3,19,0.0,Q804712
136334,"Mason, Texas",136334,1,54,0.0,Q982490
136390,"Montgomery, Texas",136390,1,19,0.0,Q981955
137392,"Hubbardton, Vermont",137392,1,41,0.0,Q2972727
140151,"Bar Nunn, Wyoming",140151,1,41,0.0,Q1030110
140585,Western Pennsylvania English,140585,4,32,36063.82282118014,Q5061640
142750,Pedro Rosselló,142750,6,19,2247.948513943218,Q1147285
142792,Lewis Stone,142792,1,2,0.0,Q457220
143135,Parity (mathematics),143135,3,45,22193.0,Q230967
143460,Province of Castellón,143460,1,16,0.0,Q54942
143486,Indie rock,143486,28,44,768808.4317434989,Q183504
143579,Inner Hebrides,143579,3,37,321211.0,Q81052
144461,Hubert Parry,144461,3,52,0.0,Q354250
144471,David Bossie,144471,2,22,4465.87092898624,Q15529972
145006,River Yare,145006,3,32,11093.0,Q221807
145186,Sharashka,145186,2,36,22192.0,Q1081812
145590,River Wensum,145590,5,32,33286.0,Q4980777
