,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class
20,11.0,6984.0,Colin Powell,0.0,Q150851,Geography.Regions.Asia.Asia*,914286.878671036,25.0
21,4.0,7279.0,"Chapter 11, Title 11, United States Code",0.26285186409950256,Q1062835,STEM.STEM*,18575.0,33.0
22,4.0,7279.0,"Chapter 11, Title 11, United States Code",0.21734751760959625,Q1062835,History_and_Society.Military_and_warfare,18575.0,33.0
23,4.0,7279.0,"Chapter 11, Title 11, United States Code",0.14415885508060455,Q1062835,History_and_Society.Politics_and_government,18575.0,33.0
24,4.0,7279.0,"Chapter 11, Title 11, United States Code",0.12253321707248688,Q1062835,Culture.Sports,18575.0,33.0
25,4.0,7279.0,"Chapter 11, Title 11, United States Code",0.0,Q1062835,Geography.Regions.Americas.North_America,18575.0,33.0
26,11.0,11982.0,Gemini 10,1.0000100135803223,Q752799,STEM.Space,354.2045702861319,26.0
27,11.0,11982.0,Gemini 10,0.9994397163391113,Q752799,History_and_Society.Transportation,354.2045702861319,26.0
28,11.0,11982.0,Gemini 10,0.9982553720474243,Q752799,STEM.Technology,354.2045702861319,26.0
29,11.0,11982.0,Gemini 10,0.997758150100708,Q752799,STEM.STEM*,354.2045702861319,26.0
30,11.0,11982.0,Gemini 10,0.16027602553367615,Q752799,History_and_Society.Society,354.2045702861319,26.0
31,10.0,13075.0,Gosford,0.9219318628311157,Q605113,Geography.Regions.Oceania,12027.223751512784,3.0
32,10.0,13075.0,Gosford,0.22271016240119934,Q605113,Geography.Geographical,12027.223751512784,3.0
33,3.0,13411.0,Transport in Hong Kong,0.4904325475692749,Q1073811,Geography.Regions.Asia.East_Asia,9291.0,24.0
34,3.0,13411.0,Transport in Hong Kong,0.4486793746948242,Q1073811,Geography.Regions.Asia.Asia*,9291.0,24.0
35,3.0,13411.0,Transport in Hong Kong,0.1732981950044632,Q1073811,STEM.STEM*,9291.0,24.0
36,3.0,13411.0,Transport in Hong Kong,0.16027602553367615,Q1073811,History_and_Society.Military_and_warfare,9291.0,24.0
37,3.0,13411.0,Transport in Hong Kong,0.14034625887870789,Q1073811,History_and_Society.History,9291.0,24.0
38,3.0,13411.0,Transport in Hong Kong,0.11921291798353195,Q1073811,History_and_Society.Transportation,9291.0,24.0
39,3.0,13411.0,Transport in Hong Kong,0.11597072333097458,Q1073811,Culture.Philosophy_and_religion,9291.0,24.0
40,3.0,13411.0,Transport in Hong Kong,0.10088862478733063,Q1073811,History_and_Society.Politics_and_government,9291.0,24.0
41,7.0,13743.0,Harry Connick Jr.,0.9971204400062561,Q313755,Culture.Biography.Biography*,368482.4080056193,30.0
42,7.0,13743.0,Harry Connick Jr.,0.9219318628311157,Q313755,Culture.Media.Media*,368482.4080056193,30.0
43,7.0,13743.0,Harry Connick Jr.,0.8962613940238953,Q313755,Culture.Media.Music,368482.4080056193,30.0
44,7.0,13743.0,Harry Connick Jr.,0.0,Q313755,Geography.Regions.Americas.North_America,368482.4080056193,30.0
45,3.0,14380.0,Helium-3,0.9896818399429321,Q533498,STEM.STEM*,0.0,22.0
46,3.0,14380.0,Helium-3,0.9770326614379883,Q533498,STEM.Chemistry,0.0,22.0
47,3.0,15531.0,Isaac Stern,0.998142421245575,Q311317,Culture.Biography.Biography*,13934.0,8.0
48,3.0,15531.0,Isaac Stern,0.8221991658210754,Q311317,Culture.Media.Music,13934.0,8.0
49,3.0,15531.0,Isaac Stern,0.8080772161483765,Q311317,Culture.Media.Media*,13934.0,8.0
50,3.0,15531.0,Isaac Stern,0.275139719247818,Q311317,Culture.Performing_arts,13934.0,8.0
51,3.0,15531.0,Isaac Stern,0.1968362182378769,Q311317,History_and_Society.Society,13934.0,8.0
52,3.0,15531.0,Isaac Stern,0.16442059183120727,Q311317,Geography.Regions.Americas.North_America,13934.0,8.0
53,3.0,15531.0,Isaac Stern,0.1259327530860901,Q311317,History_and_Society.History,13934.0,8.0
54,3.0,15531.0,Isaac Stern,0.0,Q311317,Geography.Regions.Europe.Europe*,13934.0,8.0
55,3.0,15531.0,Isaac Stern,0.0,Q311317,Geography.Regions.Asia.West_Asia,13934.0,8.0
56,3.0,15531.0,Isaac Stern,0.0,Q311317,Geography.Regions.Europe.Western_Europe,13934.0,8.0
57,3.0,15531.0,Isaac Stern,0.0,Q311317,Geography.Regions.Asia.Asia*,13934.0,8.0
58,3.0,15531.0,Isaac Stern,0.0,Q311317,Geography.Regions.Europe.Eastern_Europe,13934.0,8.0
59,3.0,15531.0,Isaac Stern,0.0,Q311317,Geography.Regions.Europe.Northern_Europe,13934.0,8.0
60,2.0,16207.0,Joseph Gurney Cannon,1.0000100135803223,Q984248,Culture.Biography.Biography*,0.0,1.0
61,2.0,16207.0,Joseph Gurney Cannon,0.9659096002578735,Q984248,History_and_Society.Politics_and_government,0.0,1.0
62,2.0,16207.0,Joseph Gurney Cannon,0.46490960025787353,Q984248,Geography.Regions.Americas.North_America,0.0,1.0
63,2.0,16207.0,Joseph Gurney Cannon,0.1824355274438858,Q984248,History_and_Society.Military_and_warfare,0.0,1.0
64,7.0,16227.0,Jerome Kern,0.9990094900131226,Q313270,Culture.Biography.Biography*,26159.38252966751,8.0
65,7.0,16227.0,Jerome Kern,0.6859594583511353,Q313270,Culture.Media.Media*,26159.38252966751,8.0
66,7.0,16227.0,Jerome Kern,0.5156299471855164,Q313270,Culture.Media.Music,26159.38252966751,8.0
67,7.0,16227.0,Jerome Kern,0.3998216390609741,Q313270,Culture.Performing_arts,26159.38252966751,8.0
68,7.0,16227.0,Jerome Kern,0.0,Q313270,Geography.Regions.Americas.North_America,26159.38252966751,8.0
69,6.0,16380.0,James Tobin,0.9946250915527344,Q211776,Culture.Biography.Biography*,8453.257126163651,25.0
70,6.0,16380.0,James Tobin,0.7663036584854126,Q211776,History_and_Society.Business_and_economics,8453.257126163651,25.0
71,6.0,16380.0,James Tobin,0.2509227991104126,Q211776,STEM.STEM*,8453.257126163651,25.0
72,6.0,16380.0,James Tobin,0.18495945835113525,Q211776,Geography.Regions.Americas.North_America,8453.257126163651,25.0
73,6.0,16380.0,James Tobin,0.16452647745609283,Q211776,History_and_Society.Education,8453.257126163651,25.0
74,7.0,17878.0,Laser science,1.0000100135803223,Q4252992,STEM.Physics,4647.075,16.0
75,7.0,17878.0,Laser science,0.9971204400062561,Q4252992,STEM.STEM*,4647.075,16.0
76,7.0,17970.0,Leon M. Lederman,0.9986850023269653,Q192695,Culture.Biography.Biography*,9291.0,16.0
77,7.0,17970.0,Leon M. Lederman,0.9399233460426331,Q192695,STEM.STEM*,9291.0,16.0
78,7.0,17970.0,Leon M. Lederman,0.9362950325012207,Q192695,STEM.Physics,9291.0,16.0
79,7.0,17970.0,Leon M. Lederman,0.4163126816749573,Q192695,Geography.Regions.Americas.North_America,9291.0,16.0
80,7.0,17970.0,Leon M. Lederman,0.1294127255678177,Q192695,Culture.Philosophy_and_religion,9291.0,16.0
81,7.0,17970.0,Leon M. Lederman,0.10088862478733063,Q192695,History_and_Society.Education,9291.0,16.0
82,23.0,18964.0,Madagascar,0.9770326614379883,Q1019,Geography.Geographical,489223.40703228547,37.0
83,23.0,18964.0,Madagascar,0.30736804008483887,Q1019,Geography.Regions.Africa.Africa*,489223.40703228547,37.0
84,23.0,18964.0,Madagascar,0.19194278120994568,Q1019,Geography.Regions.Europe.Europe*,489223.40703228547,37.0
85,23.0,18964.0,Madagascar,0.11597072333097458,Q1019,Geography.Regions.Asia.Asia*,489223.40703228547,37.0
86,23.0,18964.0,Madagascar,0.11280541121959686,Q1019,History_and_Society.Society,489223.40703228547,37.0
87,1.0,19035.0,Mormon (word),0.6584275364875793,Q17007591,Culture.Philosophy_and_religion,0.0,43.0
88,1.0,19035.0,Mormon (word),0.270853506565094,Q17007591,Geography.Regions.Americas.North_America,0.0,43.0
89,3.0,20108.0,Mick Doohan,0.99753737449646,Q436025,Culture.Biography.Biography*,2318.0,35.0
90,3.0,20108.0,Mick Doohan,0.8080772161483765,Q436025,Culture.Sports,2318.0,35.0
91,3.0,20108.0,Mick Doohan,0.4804634323120117,Q436025,Geography.Regions.Oceania,2318.0,35.0
92,2.0,20861.0,Cavity magnetron,0.754925012588501,Q194154,STEM.STEM*,0.0,22.0
93,2.0,20861.0,Cavity magnetron,0.41490885615348816,Q194154,STEM.Technology,0.0,22.0
94,2.0,20861.0,Cavity magnetron,0.1259327530860901,Q194154,History_and_Society.Society,0.0,22.0
95,2.0,20861.0,Cavity magnetron,0.11597072333097458,Q194154,History_and_Society.Politics_and_government,0.0,22.0
96,2.0,20861.0,Cavity magnetron,0.0,Q194154,Geography.Regions.Asia.Asia*,0.0,22.0
97,2.0,20861.0,Cavity magnetron,0.0,Q194154,Geography.Regions.Europe.Europe*,0.0,22.0
98,1.0,21344.0,Geography of New Caledonia,0.49467848443984985,Q3098269,Geography.Geographical,0.0,37.0
99,1.0,21344.0,Geography of New Caledonia,0.23616819286346435,Q3098269,Geography.Regions.Oceania,0.0,37.0
100,1.0,21344.0,Geography of New Caledonia,0.10667316818237305,Q3098269,Geography.Regions.Europe.Europe*,0.0,37.0
101,1.0,21344.0,Geography of New Caledonia,0.0,Q3098269,Geography.Regions.Europe.Western_Europe,0.0,37.0
102,15.0,21649.0,New Mexico,0.9886782765388489,Q1522,Geography.Geographical,613073.68454047,26.0
103,15.0,21649.0,New Mexico,0.7879412174224854,Q1522,Geography.Regions.Americas.North_America,613073.68454047,26.0
104,5.0,23269.0,Physicist,0.7981967926025391,Q169470,STEM.STEM*,36122.68371703627,22.0
105,5.0,23269.0,Physicist,0.4532718360424042,Q169470,History_and_Society.Business_and_economics,36122.68371703627,22.0
106,5.0,23269.0,Physicist,0.4532718360424042,Q169470,STEM.Medicine_&_Health,36122.68371703627,22.0
107,2.0,25190.0,Politics of Qatar,0.9688661694526672,Q1155440,History_and_Society.Politics_and_government,0.0,37.0
108,2.0,25195.0,Foreign relations of Qatar,0.9908843636512756,Q5468532,History_and_Society.Politics_and_government,0.0,37.0
109,2.0,25195.0,Foreign relations of Qatar,0.0,Q5468532,Geography.Regions.Asia.Asia*,0.0,37.0
110,2.0,25195.0,Foreign relations of Qatar,0.0,Q5468532,Geography.Regions.Asia.West_Asia,0.0,37.0
111,3.0,25236.0,Quadrupedalism,0.9777238368988037,Q21907045,STEM.Biology,9290.0,37.0
112,3.0,25236.0,Quadrupedalism,0.9669240117073059,Q21907045,STEM.STEM*,9290.0,37.0
113,3.0,25236.0,Quadrupedalism,0.10088862478733063,Q21907045,STEM.Medicine_&_Health,9290.0,37.0
114,7.0,25740.0,Robert E. Lee,0.9946250915527344,Q165557,Culture.Biography.Biography*,111089.0,21.0
115,7.0,25740.0,Robert E. Lee,0.8479777574539185,Q165557,History_and_Society.Military_and_warfare,111089.0,21.0
116,7.0,25740.0,Robert E. Lee,0.11280541121959686,Q165557,History_and_Society.History,111089.0,21.0
117,7.0,25740.0,Robert E. Lee,0.0,Q165557,Geography.Regions.Americas.North_America,111089.0,21.0
118,18.0,25901.0,Roberto Clemente,0.9995221495628357,Q684020,Culture.Biography.Biography*,179073.01231644765,30.0
119,18.0,25901.0,Roberto Clemente,0.8962613940238953,Q684020,Culture.Sports,179073.01231644765,30.0
120,18.0,25901.0,Roberto Clemente,0.3893042674064636,Q684020,Geography.Regions.Americas.Central_America,179073.01231644765,30.0
121,18.0,25901.0,Roberto Clemente,0.320831298828125,Q684020,History_and_Society.Society,179073.01231644765,30.0
122,18.0,25901.0,Roberto Clemente,0.270853506565094,Q684020,Geography.Regions.Americas.North_America,179073.01231644765,30.0
123,1.0,26479.0,Richie Benaud,0.9992059469223022,Q2739019,Culture.Biography.Biography*,0.0,18.0
124,1.0,26479.0,Richie Benaud,0.9740526676177979,Q2739019,Culture.Sports,0.0,18.0
125,1.0,26479.0,Richie Benaud,0.6224693655967712,Q2739019,Culture.Media.Media*,0.0,18.0
126,1.0,26479.0,Richie Benaud,0.42946826124191284,Q2739019,Geography.Regions.Oceania,0.0,18.0
127,6.0,27013.0,Swedish Academy,0.4334051480293274,Q207360,Geography.Regions.Europe.Europe*,13935.0,16.0
128,6.0,27013.0,Swedish Academy,0.39526139402389526,Q207360,Geography.Regions.Europe.Northern_Europe,13935.0,16.0
129,6.0,27013.0,Swedish Academy,0.1732981950044632,Q207360,History_and_Society.Business_and_economics,13935.0,16.0
130,6.0,27013.0,Swedish Academy,0.16027602553367615,Q207360,STEM.STEM*,13935.0,16.0
131,1.0,28226.0,Show business,0.6001983880996704,Q625568,History_and_Society.Business_and_economics,0.0,40.0
132,1.0,28226.0,Show business,0.3775506913661957,Q625568,STEM.STEM*,0.0,40.0
133,1.0,28226.0,Show business,0.3007555902004242,Q625568,STEM.Technology,0.0,40.0
134,1.0,28226.0,Show business,0.14034625887870789,Q625568,Culture.Media.Media*,0.0,40.0
135,1.0,28226.0,Show business,0.12253321707248688,Q625568,STEM.Engineering,0.0,40.0
136,1.0,28977.0,Salute,0.523430347442627,Q858893,History_and_Society.Society,0.0,0.0
137,1.0,28977.0,Salute,0.3276783227920532,Q858893,Culture.Philosophy_and_religion,0.0,0.0
138,1.0,28977.0,Salute,0.1294127255678177,Q858893,STEM.STEM*,0.0,0.0
139,3.0,30592.0,Partial Nuclear Test Ban Treaty,0.40734341740608215,Q278960,History_and_Society.Politics_and_government,9291.0,25.0
140,3.0,30592.0,Partial Nuclear Test Ban Treaty,0.33459946513175964,Q278960,STEM.STEM*,9291.0,25.0
141,3.0,30592.0,Partial Nuclear Test Ban Treaty,0.33459946513175964,Q278960,History_and_Society.Military_and_warfare,9291.0,25.0
142,3.0,30592.0,Partial Nuclear Test Ban Treaty,0.24509501457214355,Q278960,History_and_Society.Society,9291.0,25.0
143,3.0,30592.0,Partial Nuclear Test Ban Treaty,0.19194278120994568,Q278960,History_and_Society.History,9291.0,25.0
144,3.0,30592.0,Partial Nuclear Test Ban Treaty,0.11597072333097458,Q278960,STEM.Biology,9291.0,25.0
145,3.0,30592.0,Partial Nuclear Test Ban Treaty,0.11597072333097458,Q278960,STEM.Earth_and_environment,9291.0,25.0
146,3.0,30592.0,Partial Nuclear Test Ban Treaty,0.0,Q278960,Geography.Regions.Asia.Asia*,9291.0,25.0
147,3.0,30592.0,Partial Nuclear Test Ban Treaty,0.0,Q278960,Geography.Regions.Europe.Europe*,9291.0,25.0
148,3.0,30592.0,Partial Nuclear Test Ban Treaty,0.0,Q278960,Geography.Regions.Europe.Southern_Europe,9291.0,25.0
149,3.0,30592.0,Partial Nuclear Test Ban Treaty,0.0,Q278960,Geography.Regions.Asia.West_Asia,9291.0,25.0
150,3.0,30592.0,Partial Nuclear Test Ban Treaty,0.0,Q278960,Geography.Regions.Asia.North_Asia,9291.0,25.0
151,3.0,30592.0,Partial Nuclear Test Ban Treaty,0.0,Q278960,Geography.Regions.Americas.North_America,9291.0,25.0
152,3.0,30592.0,Partial Nuclear Test Ban Treaty,0.0,Q278960,Geography.Regions.Europe.Western_Europe,9291.0,25.0
153,3.0,30592.0,Partial Nuclear Test Ban Treaty,0.0,Q278960,Geography.Geographical,9291.0,25.0
154,3.0,30592.0,Partial Nuclear Test Ban Treaty,0.0,Q278960,Geography.Regions.Europe.Eastern_Europe,9291.0,25.0
155,7.0,31918.0,University of Rochester,0.9937201142311096,Q149990,History_and_Society.Education,20233.113862187638,16.0
156,7.0,31918.0,University of Rochester,0.9732507467269897,Q149990,Geography.Regions.Americas.North_America,20233.113862187638,16.0
157,7.0,31918.0,University of Rochester,0.1067005917429924,Q149990,Culture.Philosophy_and_religion,20233.113862187638,16.0
158,7.0,31918.0,University of Rochester,0.10375863313674927,Q149990,Culture.Visual_arts.Architecture,20233.113862187638,16.0
159,12.0,37125.0,Australian Security Intelligence Organisation,0.6370407938957214,Q782740,History_and_Society.Politics_and_government,519965.34565535607,11.0
160,12.0,37125.0,Australian Security Intelligence Organisation,0.49836383962631225,Q782740,Geography.Regions.Oceania,519965.34565535607,11.0
161,12.0,37125.0,Australian Security Intelligence Organisation,0.20182321965694427,Q782740,History_and_Society.Military_and_warfare,519965.34565535607,11.0
162,1.0,37483.0,Womyn,0.9740526676177979,Q3569775,Culture.Biography.Biography*,0.0,21.0
163,1.0,37483.0,Womyn,0.9173126816749573,Q3569775,Culture.Biography.Women,0.0,21.0
164,1.0,37483.0,Womyn,0.8840492963790894,Q3569775,History_and_Society.History,0.0,21.0
165,1.0,37483.0,Womyn,0.4688006341457367,Q3569775,History_and_Society.Society,0.0,21.0
166,1.0,37483.0,Womyn,0.4301573634147644,Q3569775,Culture.Linguistics,0.0,21.0
167,1.0,37483.0,Womyn,0.1097157895565033,Q3569775,Culture.Literature,0.0,21.0
168,1.0,37483.0,Womyn,0.0,Q3569775,Geography.Regions.Oceania,0.0,21.0
169,1.0,37483.0,Womyn,0.0,Q3569775,Geography.Regions.Asia.Asia*,0.0,21.0
170,1.0,37483.0,Womyn,0.0,Q3569775,Geography.Regions.Europe.Europe*,0.0,21.0
171,3.0,38326.0,United Nations Interim Administration Mission in Kosovo,0.3276783227920532,Q504557,History_and_Society.Business_and_economics,9291.0,37.0
172,3.0,38326.0,United Nations Interim Administration Mission in Kosovo,0.23371636867523193,Q504557,History_and_Society.Education,9291.0,37.0
173,3.0,38326.0,United Nations Interim Administration Mission in Kosovo,0.1778208613395691,Q504557,STEM.STEM*,9291.0,37.0
174,3.0,38326.0,United Nations Interim Administration Mission in Kosovo,0.15036486291885376,Q504557,Geography.Regions.Europe.Southern_Europe,9291.0,37.0
175,3.0,38326.0,United Nations Interim Administration Mission in Kosovo,0.14323513412475586,Q504557,Geography.Regions.Europe.Europe*,9291.0,37.0
176,3.0,38326.0,United Nations Interim Administration Mission in Kosovo,0.13661839067935944,Q504557,History_and_Society.Politics_and_government,9291.0,37.0
177,3.0,38326.0,United Nations Interim Administration Mission in Kosovo,0.1294127255678177,Q504557,Culture.Media.Media*,9291.0,37.0
178,3.0,38326.0,United Nations Interim Administration Mission in Kosovo,0.11280541121959686,Q504557,Culture.Biography.Women,9291.0,37.0
179,3.0,38326.0,United Nations Interim Administration Mission in Kosovo,0.1097157895565033,Q504557,Culture.Philosophy_and_religion,9291.0,37.0
180,6.0,38948.0,Goldie,0.9972950220108032,Q507845,Culture.Biography.Biography*,340818.25,15.0
181,6.0,38948.0,Goldie,0.8903042674064636,Q507845,Culture.Media.Media*,340818.25,15.0
182,6.0,38948.0,Goldie,0.8519628047943115,Q507845,Culture.Media.Music,340818.25,15.0
183,6.0,38948.0,Goldie,0.0,Q507845,Geography.Regions.Europe.Europe*,340818.25,15.0
184,6.0,38948.0,Goldie,0.0,Q507845,Geography.Regions.Europe.Northern_Europe,340818.25,15.0
185,8.0,39040.0,Ernest Lawrence,0.9992778301239014,Q169577,Culture.Biography.Biography*,12139.208315507962,22.0
186,8.0,39040.0,Ernest Lawrence,0.9344051480293274,Q169577,STEM.Physics,12139.208315507962,22.0
187,8.0,39040.0,Ernest Lawrence,0.9284188151359558,Q169577,STEM.STEM*,12139.208315507962,22.0
188,8.0,39040.0,Ernest Lawrence,0.3276783227920532,Q169577,History_and_Society.Military_and_warfare,12139.208315507962,22.0
189,8.0,39040.0,Ernest Lawrence,0.32572178745269775,Q169577,Geography.Regions.Americas.North_America,12139.208315507962,22.0
190,8.0,39040.0,Ernest Lawrence,0.10375863313674927,Q169577,History_and_Society.Education,12139.208315507962,22.0
191,8.0,39040.0,Ernest Lawrence,0.0,Q169577,Geography.Regions.Europe.Europe*,12139.208315507962,22.0
192,1.0,48257.0,Fredric Brown,0.9990989565849304,Q363227,Culture.Biography.Biography*,0.0,0.0
193,1.0,48257.0,Fredric Brown,0.4843900501728058,Q363227,Culture.Literature,0.0,0.0
194,1.0,48257.0,Fredric Brown,0.3629792034626007,Q363227,Culture.Media.Media*,0.0,0.0
195,1.0,48257.0,Fredric Brown,0.13661839067935944,Q363227,Culture.Biography.Women,0.0,0.0
196,1.0,48257.0,Fredric Brown,0.0,Q363227,Geography.Regions.Americas.North_America,0.0,0.0
197,1.0,48756.0,Battle of Lesnaya,0.9991269707679749,Q166015,History_and_Society.Military_and_warfare,0.0,4.0
198,1.0,48756.0,Battle of Lesnaya,0.771853506565094,Q166015,Geography.Regions.Europe.Europe*,0.0,4.0
199,1.0,48756.0,Battle of Lesnaya,0.5698626637458801,Q166015,Geography.Regions.Europe.Northern_Europe,0.0,4.0
200,1.0,48756.0,Battle of Lesnaya,0.29422497749328613,Q166015,Geography.Regions.Europe.Eastern_Europe,0.0,4.0
201,1.0,48756.0,Battle of Lesnaya,0.19194278120994568,Q166015,Geography.Regions.Europe.Western_Europe,0.0,4.0
202,1.0,48756.0,Battle of Lesnaya,0.1520422399044037,Q166015,History_and_Society.Society,0.0,4.0
203,1.0,48756.0,Battle of Lesnaya,0.11597072333097458,Q166015,Geography.Regions.Asia.North_Asia,0.0,4.0
204,2.0,48757.0,Great Northern War,0.7826725244522095,Q151616,History_and_Society.Military_and_warfare,4646.0,4.0
205,2.0,48757.0,Great Northern War,0.4961204400062561,Q151616,Geography.Regions.Europe.Europe*,4646.0,4.0
206,2.0,48757.0,Great Northern War,0.4209318628311157,Q151616,Geography.Regions.Europe.Northern_Europe,4646.0,4.0
207,2.0,48757.0,Great Northern War,0.4063222279548645,Q151616,Geography.Regions.Europe.Eastern_Europe,4646.0,4.0
208,2.0,48757.0,Great Northern War,0.33459946513175964,Q151616,History_and_Society.History,4646.0,4.0
209,2.0,48757.0,Great Northern War,0.3140605390071869,Q151616,History_and_Society.Society,4646.0,4.0
210,2.0,48757.0,Great Northern War,0.1097157895565033,Q151616,History_and_Society.Politics_and_government,4646.0,4.0
211,26.0,52502.0,Nobel Prize in Physiology or Medicine,0.8596737384796143,Q80061,History_and_Society.Society,293949.4536591861,16.0
212,26.0,52502.0,Nobel Prize in Physiology or Medicine,0.5544804334640503,Q80061,STEM.STEM*,293949.4536591861,16.0
213,26.0,52502.0,Nobel Prize in Physiology or Medicine,0.49327974224090576,Q80061,Geography.Regions.Europe.Northern_Europe,293949.4536591861,16.0
214,26.0,52502.0,Nobel Prize in Physiology or Medicine,0.48209510946273804,Q80061,Geography.Regions.Europe.Europe*,293949.4536591861,16.0
215,26.0,52502.0,Nobel Prize in Physiology or Medicine,0.2689514458179474,Q80061,STEM.Biology,293949.4536591861,16.0
216,26.0,52502.0,Nobel Prize in Physiology or Medicine,0.24509501457214355,Q80061,STEM.Medicine_&_Health,293949.4536591861,16.0
217,34.0,53539.0,Soyuz programme,0.4378334879875183,Q207329,Culture.Media.Media*,17340.626873173234,26.0
218,34.0,53539.0,Soyuz programme,0.41490885615348816,Q207329,Culture.Media.Television,17340.626873173234,26.0
219,34.0,53539.0,Soyuz programme,0.3702353835105896,Q207329,History_and_Society.Society,17340.626873173234,26.0
220,34.0,53539.0,Soyuz programme,0.3140605390071869,Q207329,STEM.STEM*,17340.626873173234,26.0
221,34.0,53539.0,Soyuz programme,0.29422497749328613,Q207329,Culture.Sports,17340.626873173234,26.0
222,34.0,53539.0,Soyuz programme,0.287777841091156,Q207329,STEM.Space,17340.626873173234,26.0
223,34.0,53539.0,Soyuz programme,0.26285186409950256,Q207329,Culture.Biography.Biography*,17340.626873173234,26.0
224,34.0,53539.0,Soyuz programme,0.23935934901237488,Q207329,Culture.Literature,17340.626873173234,26.0
225,34.0,53539.0,Soyuz programme,0.23371636867523193,Q207329,Culture.Linguistics,17340.626873173234,26.0
226,34.0,53539.0,Soyuz programme,0.22816647589206696,Q207329,Culture.Media.Music,17340.626873173234,26.0
227,34.0,53539.0,Soyuz programme,0.21734751760959625,Q207329,History_and_Society.Transportation,17340.626873173234,26.0
228,34.0,53539.0,Soyuz programme,0.1968362182378769,Q207329,Culture.Visual_arts.Visual_arts*,17340.626873173234,26.0
229,34.0,53539.0,Soyuz programme,0.1968362182378769,Q207329,Culture.Philosophy_and_religion,17340.626873173234,26.0
230,34.0,53539.0,Soyuz programme,0.1824355274438858,Q207329,History_and_Society.Politics_and_government,17340.626873173234,26.0
231,34.0,53539.0,Soyuz programme,0.1824355274438858,Q207329,Culture.Visual_arts.Architecture,17340.626873173234,26.0
232,34.0,53539.0,Soyuz programme,0.1824355274438858,Q207329,History_and_Society.History,17340.626873173234,26.0
233,34.0,53539.0,Soyuz programme,0.1732981950044632,Q207329,STEM.Technology,17340.626873173234,26.0
234,34.0,53539.0,Soyuz programme,0.16452647745609283,Q207329,Culture.Media.Entertainment,17340.626873173234,26.0
235,34.0,53539.0,Soyuz programme,0.14034625887870789,Q207329,History_and_Society.Military_and_warfare,17340.626873173234,26.0
236,34.0,53539.0,Soyuz programme,0.14034625887870789,Q207329,STEM.Libraries_&_Information,17340.626873173234,26.0
237,34.0,53539.0,Soyuz programme,0.11921291798353195,Q207329,Culture.Media.Films,17340.626873173234,26.0
238,34.0,53539.0,Soyuz programme,0.11280541121959686,Q207329,Culture.Biography.Women,17340.626873173234,26.0
239,34.0,53539.0,Soyuz programme,0.11280541121959686,Q207329,Culture.Media.Software,17340.626873173234,26.0
240,34.0,53539.0,Soyuz programme,0.0,Q207329,Geography.Regions.Europe.Europe*,17340.626873173234,26.0
241,34.0,53539.0,Soyuz programme,0.0,Q207329,Geography.Regions.Asia.Asia*,17340.626873173234,26.0
242,34.0,53539.0,Soyuz programme,0.0,Q207329,Geography.Regions.Europe.Western_Europe,17340.626873173234,26.0
