modularity_class,Count,Ratio,Subtopic
16,1,4.0,Literature
16,1,4.0,Media*
16,1,4.0,Military_and_warfare
16,1,4.0,Philosophy_and_religion
16,1,4.0,STEM*
17,154,85.1,Sports
17,14,7.7,Society
17,6,3.3,History
17,1,0.6,Business_and_economics
17,1,0.6,Europe*
17,1,0.6,Geographical
17,1,0.6,Music
17,1,0.6,Politics_and_government
17,1,0.6,Transportation
17,1,0.6,Western_Europe
18,25,65.8,Sports
18,6,15.8,Society
18,2,5.3,Media*
18,2,5.3,Transportation
18,1,2.6,Engineering
18,1,2.6,Films
18,1,2.6,Military_and_warfare
19,2,25.0,Politics_and_government
19,2,25.0,Society
19,1,12.5,History
19,1,12.5,Media*
19,1,12.5,Military_and_warfare
19,1,12.5,Philosophy_and_religion
20,9,52.9,Media*
20,4,23.5,Literature
20,3,17.6,Films
20,1,5.9,Television
21,7,21.9,History
21,6,18.8,Films
21,4,12.5,Media*
21,3,9.4,Society
21,3,9.4,Sports
21,2,6.2,Military_and_warfare
21,2,6.2,Politics_and_government
21,2,6.2,Visual_arts*
21,1,3.1,Biology
21,1,3.1,Comics_and_Anime
21,1,3.1,Transportation
22,56,45.5,Society
22,21,17.1,Media*
22,12,9.8,Military_and_warfare
22,6,4.9,Films
22,5,4.1,Performing_arts
22,4,3.3,Music
22,3,2.4,Sports
22,3,2.4,Visual_arts*
22,3,2.4,Literature
22,2,1.6,Politics_and_government
22,2,1.6,STEM*
22,1,0.8,Business_and_economics
22,1,0.8,Philosophy_and_religion
22,1,0.8,History
22,1,0.8,Technology
22,1,0.8,Transportation
22,1,0.8,Architecture
23,11,44.0,Society
23,6,24.0,Politics_and_government
23,3,12.0,Military_and_warfare
23,1,4.0,History
23,1,4.0,Media*
23,1,4.0,STEM*
23,1,4.0,Sports
23,1,4.0,Technology
24,16,42.1,Society
24,12,31.6,Military_and_warfare
24,3,7.9,Politics_and_government
24,2,5.3,History
24,2,5.3,Media*
24,1,2.6,Philosophy_and_religion
24,1,2.6,Transportation
24,1,2.6,Visual_arts*
25,9,90.0,Sports
25,1,10.0,History
26,5,45.5,Television
26,4,36.4,Media*
26,1,9.1,Europe*
26,1,9.1,Films
