,Id,Label,modularity_class,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Qid
167,360120,Michael Tilson Thomas,24,4,28,0.073972,0.080595,44379.0,Q520493
168,1615964,David Katz (author),8,2,23,0.089619,0.099085,11097.0,Q3018185
169,4538516,CMLL World Heavyweight Championship,46,3,26,0.08530499999999999,0.094304,129.688477,Q2012306
170,27346136,2010–11 Tottenham Hotspur F.C. season,10,5,25,0.100517,0.118051,73972.927569,Q3467833
171,4686746,Rags Ragland,47,1,34,0.05252999999999999,0.055259,0.0,Q7283228
172,36695814,Davit Modzmanashvili,19,2,29,0.071595,0.07826799999999999,6156.794551,Q920232
173,1965348,Kevin Campbell (footballer),52,1,29,0.07170399999999999,0.076474,0.0,Q927006
174,2911472,Don Covay,6,5,27,0.075843,0.08899,37.899482,Q440687
175,34486672,2011–12 Strait of Hormuz dispute,27,4,24,0.10066900000000001,0.114909,12839.820587999999,Q4306695
176,2621872,Gimme Three Steps,65,19,33,0.054110000000000005,0.059172,0.801465,Q5562729
177,1687904,Tarcisio Bertone,43,16,23,0.100632,0.117227,53664.213320999996,Q44383
178,95096,"Gogebic County, Michigan",29,10,25,0.099147,0.110819,1138.392122,Q32348
179,956432,David Hood,6,9,27,0.07574199999999999,0.087483,41.444525,Q278939
180,692732,Stéphane Dion,45,6,24,0.10607899999999999,0.12190699999999999,664024.1278189999,Q366456
181,2182788,Shopgirl,7,1,24,0.094998,0.107224,0.0,Q2005056
182,42628682,2016 Copa Libertadores,10,5,29,0.08189099999999999,0.090843,22778.01545,Q16822229
183,2990156,Bad Girl (Madonna song),40,33,28,0.079519,0.094904,17836.393803,Q2041243
184,4169830,Nazi ghettos,11,7,25,0.09870599999999999,0.11120799999999999,2454.518798,Q2583015
185,3327198,Sami Zayn,46,14,24,0.086519,0.09604700000000001,56293.172277,Q376402
186,2821886,Moro National Liberation Front,30,5,26,0.08337699999999999,0.090866,73130.381,Q59938
187,47643812,York Community Stadium,30,6,25,0.10594300000000001,0.123123,2111.790911,Q20876317
188,1322992,1996 in video games,39,1,32,0.056915999999999994,0.06075,0.0,Q973268
189,22714926,Athol Trollip,8,2,22,0.09764099999999999,0.11003099999999999,22192.0,Q2869268
190,28303052,Richard A. Stratton,54,5,23,0.11489300000000001,0.139714,588.592111,Q7323600
191,9680466,South Park (season 10),22,32,23,0.104816,0.12435,5736.107245,Q1439548
192,43234412,Becca (Ghanaian singer),68,1,26,0.088389,0.097224,0.0,Q17385631
193,8517544,Keith Hill (footballer),32,4,34,0.053216999999999993,0.056429999999999994,68002.866667,Q1114037
194,27763568,Ji Dong-won,52,7,26,0.095137,0.10955799999999999,187535.819551,Q371788
195,32627124,Dylan Bundy,62,1,29,0.065162,0.071258,0.0,Q766025
196,1956740,Rodney Rogers,58,2,34,0.052134,0.055104999999999994,22192.0,Q634812
197,27454700,President of Azad Kashmir,70,2,30,0.069931,0.076022,0.0,Q69593
198,21570684,Grammy Museum,6,2,29,0.065794,0.071969,11097.0,Q47485152
199,54113774,2017–18 San Antonio Spurs season,26,5,23,0.11146400000000001,0.1306,0.0,Q30641332
200,180386,Curia,43,1,25,0.082597,0.09116,0.0,Q835567
201,38606210,Gina McCarthy,2,3,26,0.084173,0.091445,0.0,Q5562899
202,3450734,Kevin Owens,46,14,24,0.09167,0.10276700000000001,650016.3096789999,Q609472
203,29643322,The Overtones,62,1,30,0.071309,0.079437,0.0,Q1296293
204,42880742,CiCi Bellis,69,12,25,0.111698,0.13451300000000002,557109.524569,Q16965153
205,2158718,Laurie Dann,8,2,22,0.100111,0.114192,0.0,Q6501551
206,16936274,Ryan Harrison,69,16,23,0.11005999999999999,0.131126,142330.250353,Q53563
207,276172,Brendan Smyth,43,11,24,0.09362899999999999,0.10736199999999999,33273.983011000004,Q908781
208,3271246,Austinn Jones,38,8,27,0.088138,0.099126,3923.065154,Q16215847
209,505486,Consett,17,1,26,0.08476,0.093856,0.0,Q2080364
210,4960940,Rembert Weakland,43,2,25,0.09402,0.106825,2914.585597,Q1396966
211,135744,"Balch Springs, Texas",7,3,22,0.111328,0.129398,0.0,Q804712
212,54414454,Noor-ul-Haq Qadri,70,11,27,0.081567,0.089887,24037.654345,Q33190078
213,429438,First Jewish–Roman War,11,12,26,0.087036,0.09576699999999999,72056.057143,Q202578
214,16234440,Media planning,24,2,28,0.075043,0.081414,99801.0,Q1250104
215,322642,Bill Hayden,72,24,25,0.094684,0.113178,284445.56497,Q250087
216,28284492,Juan Sebastián Cabal,19,3,26,0.084869,0.094054,10170.360979000001,Q921488
217,29548146,Omar El Kaddouri,10,6,27,0.0952,0.10968900000000001,5516.383528,Q2056827
218,43888632,Vadhu Doctoranu,46,2,29,0.06553400000000001,0.069634,0.0,Q18169336
219,42027098,Tosin Ogunode,26,2,27,0.083648,0.093564,0.0,Q15813118
220,409010,Ron Kind,7,7,23,0.104401,0.120993,7667.548677,Q505222
221,2226738,Semi-formal wear,16,5,26,0.094466,0.107281,27724.25,Q7449301
222,30391312,Ron Barber,54,10,23,0.109482,0.13158399999999998,3.768294,Q2165407
223,28033536,List of Crystal Palace F.C. managers,52,2,30,0.062641,0.066707,0.0,Q6568132
224,50375154,Antonio Morrison (American football),8,1,26,0.07454,0.079661,0.0,Q25189635
225,738198,1600 Pennsylvania Avenue (musical),24,15,28,0.07785,0.085781,76966.11691,Q4551092
226,35914268,John Kingsman Beling,54,6,23,0.118322,0.14715699999999998,2573.922669,Q14585210
227,638252,Social Gospel,11,1,28,0.070531,0.075055,0.0,Q1369934
228,54984376,Badminton at the 2017 Southeast Asian Games – Individual event,26,2,27,0.089077,0.10103,0.0,Q37787669
229,56602884,Principal Secretary to the Prime Minister of Pakistan,70,3,26,0.088022,0.097962,455174.724004,Q55641499
230,408244,Telugu Desam Party,28,23,27,0.079144,0.088558,180521.15246800001,Q2279320
231,424948,Brutalist architecture,72,2,29,0.07118,0.07686699999999999,11097.0,Q994776
232,171952,Gabriela Mistral,45,1,25,0.08730700000000001,0.095885,0.0,Q80871
233,217320,Carl Schurz,54,1,24,0.10362400000000001,0.120431,0.0,Q127437
234,2009312,Coca-Cola headquarters,30,2,25,0.095954,0.10704100000000001,0.0,Q5139094
235,115120,"Mayfield, Kentucky",74,1,23,0.10538900000000001,0.120663,0.0,Q1012364
236,80126,Juno Award,71,3,30,0.067221,0.073112,22193.0,Q507057
237,2407332,Sergio Franchi,55,1,25,0.08924299999999999,0.100851,0.0,Q782020
238,1170226,Department of Immigration and Border Protection,72,3,24,0.10580099999999999,0.125538,8433.428593,Q16829386
239,1716604,Eddie Floyd,6,10,27,0.079435,0.093037,12563.564636,Q601191
240,1903882,Ajinomoto Stadium,52,4,26,0.0875,0.098603,122683.857413,Q412824
241,5766592,Edwin Sweetland,51,1,26,0.083604,0.090861,0.0,Q5346855
242,5454738,Vania King,69,13,25,0.10332899999999999,0.12264800000000001,5458.168879999999,Q54528
243,8627512,Death and state funeral of Gerald Ford,54,16,22,0.11892,0.147302,33894.939498,Q3090984
244,2295758,The Arena (2001 film),39,1,28,0.073559,0.08051799999999999,0.0,Q4139273
245,40535090,Hurricane Manuel,48,5,27,0.080419,0.08847100000000001,7.518745,Q14920474
246,6241262,Lindsay Kemp,55,3,26,0.076053,0.083112,22193.0,Q2669884
247,17817946,Christopher Rungkat,69,3,24,0.09765800000000001,0.111114,44379.0,Q5113178
248,3010,Alan Jay Lerner,53,4,28,0.079545,0.08615700000000001,72336.688807,Q961893
249,1748898,Guy McKenna,38,4,28,0.079729,0.087572,743.054171,Q5622460
250,39435918,Marco Cecchinato,69,13,24,0.106254,0.125669,14494.398433000002,Q13360044
251,35836560,Lego tire,44,2,31,0.064609,0.069263,11097.0,Q6518637
252,50284640,17th Congress of the Philippines,45,5,25,0.08555700000000001,0.093627,135.782835,Q25339673
253,895712,European Le Mans Series,35,1,35,0.053694000000000006,0.057067999999999994,0.0,Q1376760
254,10809258,Nartanasala,28,5,28,0.073357,0.080307,5903.847619,Q6966408
255,34108516,2012 Texas A&M Aggies football team,13,7,25,0.100354,0.11489100000000001,26098.803599000003,Q4626930
256,2998032,Leo K. Thorsness,54,7,23,0.115195,0.140955,1456.442824,Q6523911
257,26694798,Second War of Scottish Independence,1,6,30,0.06449400000000001,0.06916,739078.866667,Q3310304
258,361590,Crossbencher,72,21,25,0.09890299999999999,0.119152,118701.899671,Q125047
259,43900366,Diving at the 2014 Asian Games,26,6,26,0.09135700000000001,0.10495299999999999,16701.756409999998,Q18112393
260,5718572,Fredi González,18,4,32,0.0597,0.064648,31009.458801,Q722810
261,5407094,Stade Jos Nosbaum,10,4,25,0.10545,0.122671,474.563492,Q1040373
262,540840,Battle of Richmond,74,4,23,0.10883599999999999,0.12607100000000002,544.642138,Q2253305
263,1971716,John Hunter (scientist),48,1,28,0.074162,0.080917,0.0,Q6240466
264,4825222,Tee Martin,13,2,25,0.09199500000000001,0.102578,11097.0,Q7694171
265,43621640,Battle of Ilovaisk,10,8,25,0.10178200000000001,0.117105,1107.070768,Q17627724
266,28363340,Michael H. Simon,54,2,24,0.09719,0.11238599999999999,1851.341241,Q6830879
267,58084968,Catch and kill,65,2,29,0.068713,0.075101,0.0,Q56276678
268,43291270,Lewis Tierney,30,14,27,0.087015,0.09676599999999999,3914.7438049999996,Q17388838
269,1003514,Eboracum,30,2,25,0.10283699999999998,0.11760799999999999,0.0,Q958954
270,539672,History of the United States (1789–1849),74,12,23,0.10709400000000001,0.124801,66671.929665,Q2192542
271,5202686,Bukit Kepong incident,30,3,28,0.073796,0.07939199999999999,55465.5,Q4262005
272,59052,Statistical ensemble (mathematical physics),7,2,28,0.073469,0.07850499999999999,33285.0,Q898535
273,21017410,ATP Masters Series,19,3,25,0.093146,0.104322,23071.859501,Q4535172
274,50389534,Canvas Stadium,8,5,22,0.100908,0.114031,16640.583333000002,Q23995882
275,640276,Gerry Goffin,6,14,26,0.077456,0.091045,15047.973425,Q48774
276,24169174,Steve Belichick,58,1,31,0.05801900000000001,0.060814,0.0,Q7611909
277,55470022,Karlo Letica,10,2,27,0.091706,0.10296500000000001,0.0,Q41689776
278,28057568,Battle of the Bowling Alley,1,6,28,0.073907,0.07965599999999999,832377.5,Q4087286
279,834196,Roda JC Kerkrade,52,3,28,0.06707,0.071103,33287.0,Q24719
280,18564872,George Cash,72,1,27,0.08294,0.092234,0.0,Q5537741
281,503926,Vanessa Kerry,54,9,23,0.10843699999999999,0.12831700000000001,2418.833909,Q7914670
282,1029998,Jean MacArthur,54,2,23,0.106478,0.123856,0.0,Q2489987
283,40370306,Party whip (Australia),72,20,25,0.092671,0.109675,503.541266,Q17053779
284,34343262,Beauden Barrett,3,17,26,0.08539,0.095263,34980.775934,Q4877438
285,1339894,Angelique Pettyjohn,55,1,24,0.087281,0.098337,0.0,Q301362
286,2723776,Alan Ramsey,72,3,25,0.091555,0.105645,290.51692,Q4707581
287,921088,1988 Summer Olympics medal table,26,4,26,0.096858,0.110917,784.541875,Q224698
288,52437236,Amato Ciciretti,52,1,28,0.078155,0.086667,0.0,Q27929639
289,52195552,2017 Cincinnati Bengals season,8,8,21,0.109859,0.128999,475280.356637,Q28404768
290,350364,Paul Tracy,35,16,30,0.072901,0.082651,17702.600151,Q706579
291,26337446,Chinese Taipei at the Asian Games,26,6,26,0.09042599999999999,0.10268,78094.369336,Q5100650
292,3619430,Individual voluntary arrangement,60,2,29,0.069064,0.07438,11097.0,Q10670701
293,399102,Marion Williams,6,3,28,0.072988,0.082585,66560.0,Q4470088
294,399452,Limb-girdle muscular dystrophy,64,2,30,0.07129400000000001,0.077817,0.0,Q1531322
295,12168922,2003–04 Chelsea F.C. season,17,3,26,0.090034,0.10217999999999999,902.318551,Q3667067
296,43706704,Bull Dempsey,46,1,28,0.064266,0.068271,0.0,Q16534411
297,42564284,Nikoloz Basilashvili,69,2,25,0.099239,0.114003,0.0,Q16297666
298,2617810,Paul Roos (Australian rules footballer),38,4,29,0.078377,0.086502,5208.582615,Q7153313
299,109450,"Miami Lakes, Florida",7,5,23,0.10435799999999999,0.121572,6407.734284,Q995006
300,744426,Torrijos–Carter Treaties,54,1,24,0.10297200000000001,0.118977,0.0,Q277343
301,2615904,Timeline of Hurricane Katrina,7,6,23,0.10613,0.12431400000000001,44453.819687999996,Q7805750
302,738094,University College Cork,11,2,25,0.097709,0.10945999999999999,76080.445789,Q1574185
303,1080112,Saint Kitts and Nevis national football team,10,3,28,0.087077,0.098111,163.056092,Q187664
304,21564794,Sports in St. Louis,18,3,27,0.092029,0.103574,585351.87942,Q7579910
305,714258,Catawba people,74,3,23,0.10474100000000001,0.119028,1927.286034,Q55290
306,23409156,WNBA records,26,2,25,0.093055,0.10456900000000001,2853.050515,Q7953247
307,5679416,Latin American culture,45,5,24,0.095658,0.10755899999999999,44381.0,Q6496275
